0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Divlja jabuka - 95,Divlja jabuka - 95,Divlja jabuka - 95,Obični orah - 26,Obični orah - 26,Obični orah - 26,Ostala tvrda bjelogorica - OTB,Ostala tvrda bjelogorica - OTB,Ostala tvrda bjelogorica - OTB,Hrast kitnjak - 48,Hrast kitnjak - 48,Hrast kitnjak - 48,Obični jasen - 22,Obični jasen - 22,Obični jasen - 22
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,,,,
2-7.5,,,,,,,,,,,,,,,
3-12.5,,,,,,,1,,,1,,,1,,
4-17.5,1,,,,,,1,,,,,,,,
5-22.5,2,,,1,,,,,,,,,,,
6-27.5,,,,,,,,,,,,,,,
7-32.5,,,,,,,,,,,,,,,
8-37.5,1,,,,,,,,,,,,,,
