0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,Pitomi kesten - 15,Pitomi kesten - 15,Pitomi kesten - 15,Obični grab - 13,Obični grab - 13,Obični grab - 13,Gorski javor - 5,Gorski javor - 5,Gorski javor - 5,Klen - 1,Klen - 1,Klen - 1,Obični bagrem - 56,Obični bagrem - 56,Obični bagrem - 56,,Crna joha - 7,Crna joha - 7,Crna joha - 7,Gorski brijest - 70,Gorski brijest - 70,Gorski brijest - 70
,živa,S,L,živa,S,L,živa,S,L,živa,S,L,živa,S,L,,živa,S,L,živa,S,L
1-2.5,,,,,,,,,,,,,,,,1-2.5,,,,,,
2-7.5,,,,,,,,,,,,,,,,2-7.5,,,,,,
3-12.5,,,1,,,,,,,1,,,,,,3-12.5,,,,,,
4-17.5,,,1,1,,,3,,,,,,1,,,4-17.5,,,,1,,
5-22.5,,,,,,,1,,,,,,,,,5-22.5,,,,,,
6-27.5,,,2,,,,1,,,,,,,,,6-27.5,,,,,,
7-32.5,,,1,,,,,,,,,,,,,7-32.5,,,,,,
8-37.5,2,,,,,,2,,,,,,1,,,8-37.5,1,1,,,,
9-42.5,2,,,,,,1,,,,,,2,,,9-42.5,,,,,,
10-47.5,,,1,,,,,,,,,,,,,10-47.5,,,,,,
11-52.5,1,,,,,,,,,,,,,,,11-52.5,,,,,,
